Gear_name,Gear_code,Activity_.s.m2.d.,Plough_rate_.m2.s.
Pots_and_traps,PT,1.08E-08,0
Purse_seine,PS,1.08E-07,0
Associated_schools,AS,1.03E-06,0
Longlines,LL,6.74E-07,0
Handlines_trolling_rocks,HT,4.60E-08,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
NA,NA,0,0
