Group,Harvest_ratio_multiplier
Planktivorous_fish,1
Demersal_fish,1
Migratory_fish,1
Benthos_susp-dep,1
Benthos_carn-scav,1
Zooplankton_carn,1
Birds,1
Pinnipeds,1
Cetaceans,1
Macrophytes,1
