Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
May,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Jun,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Jul,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Aug,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Sep,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Oct,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Nov,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Dec,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,
Jan,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Feb,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Mar,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Apr,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
May,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Jun,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Jul,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Aug,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Sep,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Oct,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Nov,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Dec,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,
Jan,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Feb,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Mar,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Apr,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
May,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Jun,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Jul,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Aug,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Sep,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Oct,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Nov,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
Dec,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,
