"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","Upwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight"
1,1.878602707,7.728962613,9.351594817,20.5290656208151,11.4716320915607,18.8253825807312,0.000471359,-2.75735924020102,1,0,0.105185114546723,0.145308368031976,0.00319599779605881,3.91000323635647e-05,0.0253392529367998,0.005216249,0.098533752,0.293564683,0.304599847,0.074105561,0.284547346,3.306124146
2,6.868140563,7.719561348,9.409990029,20.8536863684109,11.4379222824675,18.9446319409158,0.000423134,-3.06767629256994,1,0,0.100656912959793,0.134676859491361,0.00333489975733517,2.08326837329626e-05,0.0254468095344856,0.007837671,0.143470292,0.344668454,0.445246916,0.138881617,0.42813289,2.790408211
3,15.51034084,7.429188073,9.308991029,20.7309706515868,11.3867578768242,18.899816926539,0.000301054,-2.90446667618197,1,0,0.0956107757579086,0.128578300275849,0.00334009494055307,1.3269199419485e-05,0.0235162358563845,0.002235005,0.083162995,0.286843353,0.308715081,0.075980507,0.274971257,2.563124776
4,25.48952236,6.886644364,9.204115755,20.3296682747259,11.4294390007314,18.9235173611194,0.000280327,-2.85184212809869,0.884163508,0,0.093601191845247,0.121137188473956,0.00288160840520781,1.24795425178872e-05,0.0219077132382926,0.00278969,0.091134946,0.297680145,0.331806624,0.07672352,0.292870468,2.071527907
5,34.13175929,6.879884931,8.875375644,19.8299932556798,11.6572949184901,18.9061771195735,0.000162467,-2.02074191104528,0.607671289,0,0.0887336846552614,0.119099853217991,0.00270715252214225,8.60285137351726e-06,0.021173420994975,0.004711779,0.094910497,0.290488292,0.306757995,0.071277761,0.295702245,1.885044046
6,39.12136064,6.737943191,8.705105678,19.0650105373088,11.7377856619088,18.4105572473485,0.000104887,-1.79582334423835,0.446021763,0,0.0849593027301939,0.112841957746055,0.00258347677221635,7.29092621812415e-06,0.0203498488520871,0.002239917,0.084553449,0.281588432,0.276102045,0.061037162,0.276566876,1.511851032
7,39.12136064,6.378867416,8.79971156,18.2487702489687,11.6705740857265,17.6590878829677,0.000122133,-1.62611520941461,0.411451011,0,0.0991691032888372,0.137430539322462,0.00245418494776112,1.9264476270044e-05,0.0213235490958541,0.002813224,0.07780049,0.265004426,0.298498738,0.067281772,0.277904309,1.505067499
8,34.13175929,6.318674793,8.81616433,17.7193170028289,11.5140725156832,17.1605222683232,0.000157997,-1.66679417232701,0.476442673,0,0.100565014611818,0.139178987267505,0.00236286312196767,3.34732248793791e-05,0.0225179913417529,0.001986794,0.076396628,0.271803049,0.306983277,0.072240265,0.276883161,1.611241931
9,25.48952236,6.371221094,8.916883839,17.7782245513624,11.4318274451538,17.1585993749382,0.000229886,-1.87636871475497,0.639261454,0,0.0949409091332558,0.13232637881763,0.00266146860402968,5.22211035391061e-05,0.0243322238860758,0.005587776,0.104770991,0.310136513,0.344187478,0.087935106,0.31968123,2.113564167
10,15.51034084,6.438145179,8.966530737,18.2723068699206,11.4257140417082,17.4711608408303,0.000551102,-2.13335811841558,0.922987598,0,0.0975948228372357,0.134603214058042,0.00285384348931692,4.63778262483752e-05,0.0251807301887916,0.006933549,0.101448758,0.300786186,0.338287409,0.085928381,0.299492568,2.309724068
11,6.868140563,6.721663563,9.151220612,19.1411883585905,11.4618316267508,18.0877224494794,0.000505105,-2.46804067009979,1,0,0.0998892386615024,0.137413929547297,0.00281143720552115,4.53932283986073e-05,0.0250401020543549,0.008056161,0.119043914,0.316055049,0.342163398,0.087394471,0.326222597,2.862218333
12,1.878602707,7.35092367,9.266292968,19.8982693787657,11.4898724558403,18.4245855084964,0.000529396,-2.67636815824522,1,0,0.104894369942444,0.146997074257999,0.00298354513267771,4.01642864617913e-05,0.0257998637343948,0.009033569,0.138671086,0.335815138,0.354703304,0.107539811,0.344904245,3.191206141
