"Month","SO_nitrate","SO_phyt","SO_detritus","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_ammonia","D_nitrate"
1,1.68634344297752,0.717708423883611,0.325025552365319,1.63215412579555,0.0236472584172037,0.027009271177959,1.82183224429451,0.208936841046928,0.699333103512105,0.271289206173178,225.7880771,52.31825849,0,0.034165851,0.013500957,0.040086242,0.035449192,0,0,0.172050959864816,17.392343373224
2,1.73421108923317,0.676339483815515,0.302632324749319,1.65340929410549,0.0219307810658355,0.0258621624585312,1.74801252821747,0.182449806264543,0.674723746057207,0.258195012098373,234.5461935,54.34763667,0,0.048875476,0.020892647,0.051023133,0.041224751,0,0,0.193258318206581,17.499953695466
3,1.92699088663649,0.643594570665546,0.292255066538587,1.34319923801685,0.0200774020435569,0.0239561527553067,1.95123905685935,0.269606566224994,0.647069249751245,0.252767542954025,227.362171,52.6829981,0,0.048375284,0.045881825,0.056457583,0.093573841,0,0,0.167247546965148,18.0109676600132
4,1.98824439597615,0.641288724607634,0.290741390374022,1.54102508796045,0.0197611382761624,0.0232094267853441,1.77561167244245,0.318579389414516,0.651697031879207,0.265932106928287,226.8569723,52.56593647,0,0.044386792,0.034219823,0.065907649,0.087072922,0,0,0.248893932819906,17.7677396584011
5,1.74289783290797,0.614759582853701,0.275203963187928,2.13111786286178,0.0220426333515956,0.0233787772231891,1.67063690708517,0.356834900738151,0.648513366535479,0.260589948257477,203.6469846,47.18785739,0,0.038170576,0.022150418,0.065668385,0.066511139,0,0,0.674827233315346,16.9935189185174
6,1.75151929826238,0.582074740646425,0.256598332440023,2.59015426903311,0.0259040911785669,0.0244437054378657,1.45189544819761,0.739818498372374,0.623050962423257,0.254576456889453,171.6811332,39.7809221,0,0.028606209,0.017282465,0.059443592,0.070397703,0,0,1.1426853911637,16.710728913325
7,2.33094212494293,0.582557810174385,0.254614524547802,2.1909257058641,0.034143057553345,0.0290954507580441,1.83461729073721,0.740136124838829,0.627468369055533,0.253065204814029,196.7543768,45.59074366,0,0.02779447,0.018493671,0.055241571,0.072886425,0,0,1.1442981289571,16.8222270280831
8,2.50524862720732,0.661932791412044,0.278707138263806,2.06227275798554,0.0442573770240505,0.0360806269938908,1.5508360287616,0.878208864110636,0.717071892647666,0.277285034396686,184.6681933,42.79020573,0,0.024212196,0.017774548,0.044412374,0.069978876,0,0,1.04330782998388,16.6496575780918
9,2.31905349989355,0.783933868456959,0.312430222641126,1.87113940087757,0.0414514459180288,0.036487769556022,1.72763239449506,0.600530986135486,0.766185087400183,0.28054864516028,191.0803235,44.27598607,0,0.02912164,0.016372238,0.049405418,0.052269672,0,0,0.874953953587175,17.0310305592627
10,2.01672805772218,0.827212685672834,0.338528164016919,1.96503269110524,0.0353583426819918,0.0342352866481081,1.79601377520832,0.381919662222678,0.768591518676582,0.284480810707915,219.7395656,50.91673369,0,0.049129827,0.02458607,0.067597062,0.063291246,0,0,0.705871618029967,16.8448322624025
11,1.84539518894779,0.825487781230479,0.351539887418391,2.28757499735887,0.0311806485435644,0.031686895708507,1.81102750254537,0.244632815921683,0.776337121367118,0.299971357892604,223.9771914,51.89865092,0,0.032065872,0.016051691,0.042784167,0.046748311,0,0,0.382909368447766,16.4082552937255
12,1.79666432168072,0.773677421373794,0.340333852568349,2.05419259287867,0.0263554934615722,0.0285910942564847,1.89240974523618,0.163474440148558,0.731257216980866,0.28864866824526,236.7779882,54.86477475,0,0.037398037,0.015557729,0.044853865,0.040075928,0,0,0.268434874817162,16.6567529083451
